name,categ,X,Y,color
Аллергия на укусы насекомых,Аллергические болезни,-44.028755,-1.8159481,#E7E419
Аллергия на цитрусовые,Аллергические болезни,-42.927853,-2.8133397,#E7E419
Алопеция,Болезни волос,-77.21967,18.8329,#443982
Алопеция у детей,Детские болезни,-77.60021,18.080431,#23888D
Альбинизм,Наследственные болезни,16.082882,41.599346,#267F8E
Альвеококкоз,Инфекционные болезни,-20.583055,-23.619762,#482374
Альвеолит,Болезни зубов,-50.64896,47.20112,#38568B
Альвеолярный протеиноз,Болезни органов дыхания,-3.4610543,2.8411431,#A5DA35
Альгодисменорея,Женские болезни,31.258425,-47.236546,#3D4C89
Альгоменорея,Женские болезни,31.176502,-47.198883,#3D4C89
Альдостерома,Онкологические болезни,30.421759,-35.47179,#FDE724
Альтернирующие синдромы,Нервные болезни,44.51145,34.160408,#64CB5D
Амавроз Лебера,Глазные болезни,29.9808,-3.743668,#345E8D
Амавротическая идиотия,Нервные болезни,41.576576,9.182387,#64CB5D
Амблиопия,Глазные болезни,8.827928,47.23062,#345E8D
Амебиаз,Инфекционные болезни,-20.205498,-20.120024,#482374
Амебный абсцесс печени,Болезни органов пищеварения,-19.135712,-24.382023,#22A784
Амелобластома,Онкологические болезни,-38.59389,31.149975,#FDE724
Аменорея,Женские болезни,37.74891,-46.779354,#3D4C89
Аменция,Психические расстройства,77.64779,10.537942,#42BE71
Амилоидоз,Ревматические болезни,13.185723,-14.003541,#BADE27
Амилоидоз почек,Урологические болезни,13.07987,-14.372149,#30678D
Амилоидоз сердца,Болезни сердца и сосудов,59.49508,-20.858232,#79D151
Амиотрофия Верднига-Гоффмана,Наследственные болезни,45.26573,11.660477,#267F8E
Амиотрофия Кугельберга-Веландера,Наследственные болезни,45.41059,13.65798,#267F8E
Амнезия,Нервные болезни,68.69718,14.617028,#64CB5D
Амниотический тяж,Женские болезни,-9.197358,-74.71525,#3D4C89
Анальгетическая нефропатия,Урологические болезни,20.577286,-22.72654,#30678D
Анальная трещина,Болезни толстого кишечника,-7.423833,-59.65741,#D2E11B
Анальный зуд,Болезни толстого кишечника,-44.010887,-58.945934,#D2E11B
Анальный полип,Онкологические болезни,-33.314938,-47.3657,#FDE724
Анапластический рак щитовидной железы,Онкологические болезни,-42.74992,-34.731293,#FDE724
Анатомически узкий таз,Женские болезни,-10.628437,-76.63183,#3D4C89
Анафилактический шок,Аллергические болезни,41.62548,-16.329,#E7E419
Анаэробная инфекция,Инфекционные болезни,-12.446272,-6.4869347,#482374
Ангидроз,Кожные болезни,-9.100156,16.1728,#404387
Ангидротическая эктодермальная дисплазия,Наследственные болезни,33.5237,0.8038152,#267F8E
Ангина,"Болезни уха, горла, носа",-23.131458,7.3439593,#208F8C
Ангина при лейкозе,Онкологические болезни,-24.25265,12.677873,#FDE724
Ангина у детей,Детские болезни,-22.625742,7.0432653,#23888D
Ангиодисплазия толстой кишки,Болезни толстого кишечника,-0.6847309,-48.65563,#D2E11B
Ангиокератома,Кожные болезни,-58.98168,-6.9629827,#404387
Ангиолипома почки,Онкологические болезни,-35.884506,-33.62061,#FDE724
Ангиома,Онкологические болезни,-49.10127,-19.947058,#FDE724
Ангиома глотки,Онкологические болезни,-48.72986,-17.543257,#FDE724
Ангиоотек,Аллергические болезни,17.836267,-19.354975,#E7E419
Ангиосаркома печени,Онкологические болезни,-30.439222,-33.98781,#FDE724
Андробластома яичника,Женские болезни,-33.76485,-77.665764,#3D4C89
Андрогенный дефицит,Мужские болезни,37.611427,-39.037766,#48196B
Аневризма аорты,Болезни сердца и сосудов,62.838566,-33.440037,#79D151
Аневризма брюшной аорты,Болезни сердца и сосудов,63.057667,-33.930244,#79D151
Аневризма вены Галена,Детские болезни,35.33286,35.984097,#23888D
Аневризма дуги аорты,Болезни сердца и сосудов,62.88496,-33.10401,#79D151
Аневризма нисходящего отдела грудной аорты,Болезни сердца и сосудов,62.380135,-33.504444,#79D151
Аневризма сердца,Болезни сердца и сосудов,61.41059,-31.913645,#79D151
Аневризма синуса Вальсальвы,Болезни сердца и сосудов,62.239857,-31.846397,#79D151
Аневризмы сосудов головного мозга,Нервные болезни,36.746952,35.695164,#64CB5D
Анемия Даймонда-Блекфена,Наследственные болезни,27.230848,-17.139135,#267F8E
Анемия у детей,Детские болезни,37.061325,-26.152208,#23888D
Анетодермия,Кожные болезни,-56.88395,13.662966,#404387
Анизометропия,Глазные болезни,8.755556,45.396072,#345E8D
Аниридия,Глазные болезни,8.753929,42.35177,#345E8D
Анкилоблефарон,Глазные болезни,-2.3312109,43.29834,#345E8D
Анкилоз ВНЧС,Болезни зубов,-0.82538813,72.69277,#38568B
Анкилостомидоз,Инфекционные болезни,-23.422672,-16.409983,#482374
Ановуляторное маточное кровотечение,Женские болезни,37.739258,-50.176094,#3D4C89
Ановуляторный цикл,Женские болезни,36.649483,-50.053574,#3D4C89
Аногенитальный кондиломатоз,Онкологические болезни,-71.38967,-4.4758415,#FDE724
Анокопчиковый болевой синдром (Кокцигодиния),Болезни толстого кишечника,-2.3568254,-27.802347,#D2E11B
Аномалии волос ,Болезни волос,-77.814255,19.747005,#443982
Аномалии женских половых органов,Женские болезни,-18.366022,-74.26562,#3D4C89
Аномалии зубных рядов,Болезни зубов,-43.429184,55.15939,#38568B
Аномалии зубов,Болезни зубов,-44.05663,54.10799,#38568B
Аномалии пуповины,Женские болезни,-7.3945074,-82.598694,#3D4C89
Аномалии развития глаза,Детские болезни,10.012509,42.206482,#23888D
Аномалии развития головного мозга,Нервные болезни,26.450966,34.51714,#64CB5D
Аномалии развития гортани,Детские болезни,-3.0805092,-46.654003,#23888D
Аномалии развития желудка,Детские болезни,-2.646186,-47.972515,#23888D
Аномалии развития кишечника,Детские болезни,-2.5873346,-48.391228,#23888D
Аномалии развития коленного сустава,Болезни ОДС и травмы,16.350943,72.582054,#29AF7F
Аномалии развития матки,Женские болезни,-19.221575,-79.32853,#3D4C89
Аномалии развития пищевода,Детские болезни,-2.9603465,-47.04686,#23888D
Аномалии развития поджелудочной железы,Детские болезни,-6.736107,-31.238052,#23888D
Аномалии развития позвоночника,Болезни ОДС и травмы,25.076382,58.76117,#29AF7F
Аномалии развития почек,Детские болезни,-8.722765,-30.932875,#23888D
Аномалии развития селезенки,Болезни органов пищеварения,-7.6407566,-30.994799,#22A784
Аномалии развития ушной раковины,Детские болезни,-22.41039,32.842953,#23888D
Аномалии рефракции,Глазные болезни,8.594338,45.642975,#345E8D
Аномалии родовой деятельности,Женские болезни,-9.30559,-88.443245,#3D4C89
Аномалии формы зубов,Болезни зубов,-43.35814,52.55594,#38568B
Аномалии хрусталика,Глазные болезни,7.004669,43.088554,#345E8D
Аномалии цветового зрения,Глазные болезни,9.97476,44.11836,#345E8D
Аномалии яичек,Мужские болезни,42.398766,-40.772514,#48196B
Аномалия Киари,Нервные болезни,31.454296,43.72293,#64CB5D
Аномалия Кимерли,Нервные болезни,32.611107,43.20546,#64CB5D
Аномалия Эбштейна,Болезни сердца и сосудов,65.17513,-27.917185,#79D151
Аномальный дренаж легочных вен,Болезни сердца и сосудов,61.896908,-29.639921,#79D151
Аноргазмия,Психические расстройства,82.732285,-11.408052,#42BE71
Анорексия,Болезни органов пищеварения,83.75025,5.9396367,#22A784
Анофтальм,Глазные болезни,8.270317,41.145103,#345E8D
Антенатальная гибель плода,Женские болезни,-6.322029,-83.5803,#3D4C89
Антибиотик-ассоциированная диарея,Болезни органов пищеварения,13.078247,-43.879906,#22A784
Антифосфолипидный синдром,Иммунные болезни,16.570738,-13.281402,#1E9F88
Антракоз,Болезни органов дыхания,-4.029791,4.906316,#A5DA35
Антральный гастрит,Болезни органов пищеварения,14.95721,-54.414093,#22A784
Аортальная недостаточность,Болезни сердца и сосудов,63.692554,-25.61081,#79D151
Аортальный стеноз,Болезни сердца и сосудов,63.510548,-24.99088,#79D151
Аортит,Болезни сердца и сосудов,6.232948,-9.919207,#79D151
Апаллический синдром,Нервные болезни,48.290085,24.278873,#64CB5D
Апикальный периодонтит,Болезни зубов,-50.17639,43.82216,#38568B
Апластическая анемия,Болезни крови,21.90356,-13.874683,#1E988A
Апноэ недоношенных,Детские болезни,47.310665,-14.537571,#23888D
Апоплексия гипофиза,Нервные болезни,29.086878,27.851889,#64CB5D
Апоплексия яичника,Женские болезни,-32.10933,-83.9472,#3D4C89
Апостематозный пиелонефрит,Урологические болезни,-10.178726,-37.124474,#30678D
Аппендикулярно-генитальный синдром,Женские болезни,-28.582731,-67.32808,#3D4C89
Аппендикулярный абсцесс,Болезни органов пищеварения,-15.25369,-42.876923,#22A784
Аппендицит,Болезни органов пищеварения,-10.698012,-45.592457,#22A784
Аппендицит у детей,Детские болезни,-10.968916,-46.331264,#23888D
Апраксия,Нервные болезни,63.314133,28.807592,#64CB5D
Арахнодактилия,Болезни ОДС и травмы,32.345783,6.31042,#29AF7F
Арахноидальная киста головного мозга,Нервные болезни,32.73853,31.662935,#64CB5D
Арахноидит,Нервные болезни,33.03607,27.926298,#64CB5D
Аргироз,Кожные болезни,-68.24817,22.599033,#404387
Аритмия,Болезни сердца и сосудов,62.686348,-14.3792305,#79D151
Аритмия у детей,Детские болезни,61.949078,-12.42154,#23888D
Аритмогенная правожелудочковая кардиомиопатия,Наследственные болезни,59.392086,-10.45328,#267F8E
Артериальная гипертензия,Болезни сердца и сосудов,50.937668,-26.332838,#79D151
Артериальная гипертензия у детей,Детские болезни,55.63981,-9.738401,#23888D
Артериальная гипотония,Болезни сердца и сосудов,56.525955,-8.176892,#79D151
Артериовенозная аневризма легких,Болезни органов дыхания,4.5757995,0.8956411,#A5DA35
Артериовенозные мальформации головного мозга,Нервные болезни,35.40581,35.74744,#64CB5D
Артериовенозные мальформации спинного мозга,Нервные болезни,34.824726,37.03345,#64CB5D
Артралгии,Ревматические болезни,0.8002413,60.615047,#BADE27
Артрит ВНЧС,Болезни зубов,-1.0416936,64.59401,#38568B
Артрит голеностопного сустава,Ревматические болезни,0.38654718,64.506096,#BADE27
Артрит коленного сустава,Ревматические болезни,0.4236191,64.939575,#BADE27
Артрит пальцев,Ревматические болезни,2.1722877,65.21683,#BADE27
Артрит плечевого сустава,Ревматические болезни,0.35648814,65.426285,#BADE27
Артрит стопы,Ревматические болезни,2.0404508,65.35525,#BADE27
Артрит тазобедренного сустава,Ревматические болезни,0.15577489,64.92631,#BADE27
Артрит у детей,Детские болезни,-2.3894248,59.521454,#23888D
Артриты,Ревматические болезни,-1.7312689,61.743767,#BADE27
Артроз,Болезни ОДС и травмы,5.016016,70.338776,#29AF7F
Артроз ВНЧС,Болезни зубов,-0.6775399,72.93476,#38568B
Артроз голеностопного сустава,Болезни ОДС и травмы,5.218192,69.96676,#29AF7F
Артроз плечевого сустава,Болезни ОДС и травмы,5.084497,69.999855,#29AF7F
Артропатии,Болезни ОДС и травмы,0.981455,60.867596,#29AF7F
Асбестоз,Болезни органов дыхания,-4.304121,5.183333,#A5DA35
Асептический перитонит,Болезни органов пищеварения,-7.5547986,-40.81214,#22A784
Асимметрия груди,Эстетические проблемы,-30.217398,51.87374,#2D6F8E
Аскаридоз,Инфекционные болезни,-22.739372,-16.517818,#482374
Аскаридоз у детей,Детские болезни,-21.101702,-15.737718,#23888D
Аспергиллез,Инфекционные болезни,-27.059553,5.60153,#482374
Аспергиллез головного мозга,Нервные болезни,31.368843,20.558638,#64CB5D
Аспирационная пневмония,Болезни органов дыхания,-8.387567,-4.5952673,#A5DA35
Аспириновая бронхиальная астма,Болезни органов дыхания,-9.637252,9.662725,#A5DA35
Аспления,Болезни органов пищеварения,16.900103,-22.573626,#22A784
Ассимиляция атланта,Нервные болезни,32.049763,44.748528,#64CB5D
Астения,Нервные болезни,71.72511,16.316637,#64CB5D
Астенопия,Глазные болезни,10.737238,48.05527,#345E8D
Астигматизм,Глазные болезни,7.5850406,47.862186,#345E8D
Астигматизм у детей,Детские болезни,7.4090056,49.131886,#23888D
Астматический бронхит,Аллергические болезни,-12.186537,6.6027517,#E7E419
Астматический статус,Аллергические болезни,49.75547,-13.659007,#E7E419
Астроцитома головного мозга,Нервные болезни,25.361849,29.825895,#64CB5D
Асфиксия,Болезни органов дыхания,46.997696,-15.786622,#A5DA35
Асфиксия новорожденного,Женские болезни,46.127132,-17.29726,#3D4C89
Асцит,Болезни органов пищеварения,-1.9777932,-14.88784,#22A784
Атаксии,Нервные болезни,44.84229,18.965439,#64CB5D
Атаксия Фридрейха,Нервные болезни,44.500477,17.19145,#64CB5D
Ателектаз легких у новорожденных,Детские болезни,0.7536208,4.379618,#23888D
Ателектаз легкого,Болезни органов дыхания,0.11147653,3.0060503,#A5DA35
Ателостеогенез,Наследственные болезни,30.992163,-1.1903068,#267F8E
Атерома,Кожные болезни,-62.583576,-20.796894,#404387
Атеросклероз,Болезни сердца и сосудов,48.673817,-25.388102,#79D151
Атеросклероз сосудов головного мозга,Нервные болезни,42.145912,27.790178,#64CB5D
Атеросклеротический кардиосклероз,Болезни сердца и сосудов,60.79874,-20.223202,#79D151
Атетоз,Нервные болезни,47.543655,18.887766,#64CB5D
Атипическая гиперплазия эндометрия,Женские болезни,-30.799047,-78.28005,#3D4C89
Атипичная пневмония,Болезни органов дыхания,-13.405517,-1.5928857,#A5DA35
Атония желудка,Болезни органов пищеварения,3.9503949,-53.2174,#22A784
Атония кишечника,Болезни органов пищеварения,19.175743,-43.088116,#22A784
Атопическая бронхиальная астма,Аллергические болезни,-9.654566,8.967934,#E7E419
Атопический дерматит,Аллергические болезни,-50.688694,1.0674621,#E7E419
Атопический дерматит у детей,Аллергические болезни,-51.127163,1.5578517,#E7E419
Атопический хейлит,Аллергические болезни,-49.653008,0.42704234,#E7E419
Атрезия влагалища,Женские болезни,-14.641583,-64.75045,#3D4C89
Атрезия девственной плевы,Женские болезни,-14.712864,-65.35234,#3D4C89
Атрезия желчных ходов,Детские болезни,-3.1339238,-41.59535,#23888D
Атрезия заднего прохода и прямой кишки,Детские болезни,-11.430452,-61.3305,#23888D
Атрезия матки,Женские болезни,-20.595106,-77.34419,#3D4C89
Атрезия пищевода,Детские болезни,2.3891864,-60.57307,#23888D
Атрезия слухового прохода,"Болезни уха, горла, носа",-22.821781,32.41338,#208F8C
Атрезия трехстворчатого клапана,Болезни сердца и сосудов,64.914215,-28.792225,#79D151
Атрезия хоан,"Болезни уха, горла, носа",-25.200726,30.203432,#208F8C
Атриовентрикулярная блокада,Болезни сердца и сосудов,62.93756,-16.05882,#79D151
Атрофический (сенильный) кольпит,Женские болезни,-34.12024,-65.12422,#3D4C89
Атрофический бронхит,Болезни органов дыхания,-10.333615,3.218624,#A5DA35
Атрофический гастрит,Болезни органов пищеварения,15.62071,-53.448963,#22A784
Атрофический гингивит,Болезни зубов,-47.726917,39.23127,#38568B
Атрофия глазного яблока,Глазные болезни,0.7415801,44.511818,#345E8D
Атрофия зрительного нерва,Глазные болезни,12.0863495,32.96811,#345E8D
Атрофия кожи,Кожные болезни,-65.28068,11.489919,#404387
Атрофия поджелудочной железы,Болезни органов пищеварения,13.526109,-32.706276,#22A784
Атрофодермия,Кожные болезни,-60.525394,10.604364,#404387
Аутизм,Психические расстройства,77.61195,24.37377,#42BE71
Аутоагрессия,Психические расстройства,85.61841,23.745266,#42BE71
Аутоагрессия у ребенка,Детские болезни,85.84795,24.617077,#23888D
Аутоиммунный гепатит,Иммунные болезни,10.186527,-23.938383,#1E9F88
Аутоиммунный лимфопролиферативный синдром,Иммунные болезни,30.230581,-8.92732,#1E9F88
Аутоиммунный оофорит,Женские болезни,37.74086,-42.31924,#3D4C89
Аутоиммунный полигландулярный синдром,Иммунные болезни,29.060102,-12.702585,#1E9F88
Аутоиммунный тиреоидит,Иммунные болезни,35.821964,-32.68904,#1E9F88
Афазия,Нарушения речи,67.035286,29.256792,#8DD644
Афакия,Глазные болезни,8.288601,43.857857,#345E8D
Афта Беднара,Детские болезни,-53.08586,24.081074,#23888D
Афтозный стоматит,Болезни зубов,-49.44894,32.53861,#38568B
Аффективно-респираторный синдром у детей,Детские болезни,72.14079,6.048699,#23888D
Аффективно-шоковые реакции,Психические расстройства,78.76484,12.270465,#42BE71
Афферентная моторная афазия,Нарушения речи,64.76481,29.119677,#8DD644
Ахалазия кардии,Болезни органов пищеварения,7.154242,-59.25873,#22A784
Ахлоргидрия,Болезни органов пищеварения,16.020239,-53.919548,#22A784
Ахондрогенез,Наследственные болезни,31.151432,-1.6204658,#267F8E
Ахондроплазия,Болезни ОДС и травмы,15.412724,71.221535,#29AF7F
Ахроматопсия,Глазные болезни,15.679,42.129803,#345E8D
Ацетонемический синдром,Детские болезни,29.822294,-26.318186,#23888D
Аэроотит,"Болезни уха, горла, носа",-19.653612,26.11748,#208F8C
Аэросинусит,"Болезни уха, горла, носа",-26.167496,24.359879,#208F8C
Аэрофобия,Психические расстройства,83.80735,12.797202,#42BE71
Базалиома,Кожные болезни,-58.692703,-12.901465,#404387
Базилярная импрессия,Нервные болезни,31.921785,44.540005,#64CB5D
Базилярная мигрень,Нервные болезни,55.298767,20.614683,#64CB5D
Бактериальная деструкция легких,Болезни органов дыхания,-7.2813215,-4.0737166,#A5DA35
Бактериальная пневмония,Болезни органов дыхания,-10.01136,-2.3846903,#A5DA35
Бактериальный вагиноз,Женские болезни,-38.824997,-65.120895,#3D4C89
Бактериальный кератит,Глазные болезни,-10.758733,41.03167,#345E8D
Баланопостит,Мужские болезни,-32.837444,-59.681076,#48196B
Баланопостит у мальчиков,Детские болезни,-37.430386,-61.620384,#23888D
Балантидиаз,Инфекционные болезни,-20.449318,-19.299925,#482374
Барбитуромания,Наркологические проблемы,80.28468,0.86214113,#29788E
Бартолинит,Женские болезни,-56.85887,-32.51437,#3D4C89
Бедренная грыжа,Болезни органов пищеварения,1.4049252,-67.97813,#22A784
Безболевая ишемия миокарда,Болезни сердца и сосудов,58.894505,-12.598596,#79D151
Безоар желудка,Болезни органов пищеварения,0.4470726,-55.132362,#22A784
Белые пятна на ногтях,Косметические проблемы,-74.3922,13.657,#460C5F
Бельмо ,Глазные болезни,1.5610431,44.73384,#345E8D
Бери-бери,Нервные болезни,27.733017,-25.770102,#64CB5D
Бесплодие у женщин,Женские болезни,40.965893,-45.991634,#3D4C89
Беттолепсия,Нервные болезни,50.488174,-10.900252,#64CB5D
Бешенство,Инфекционные болезни,-27.328547,-9.754745,#482374
Билиарный панкреатит,Болезни органов пищеварения,2.5942044,-35.97372,#22A784
